seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
1739,INVALID,56.28,5,10,13,10,8,7,4,0,0.133432,1.0,5,49.735,178,27,2,3,20.696,21.754,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1740,INVALID,50.558,8,13,14,9,8,13,7,0,0.197947,0.954857,4,36.513,219,27,1,3,47.071,38.355,unreachable_platforms:5,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:14
1741,VALID,76.759,6,10,13,12,10,7,5,0,0.157199,1.0,4,34.603,191,28,0,3,32.329,22.33,,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
1742,INVALID,66.228,6,12,13,12,11,11,5,0,0.150161,0.997668,5,41.93,192,28,1,3,30.47,38.735,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1743,INVALID,64.035,6,11,14,12,10,10,5,0,0.153521,0.998848,4,33.567,194,28,1,3,39.421,21.663,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1744,INVALID,37.334,7,12,15,11,9,11,6,0,0.188373,0.750306,5,40.268,209,26,2,3,37.104,24.164,unreachable_platforms:3|base_reachable_ratio_too_low:0.750,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:11
1745,INVALID,34.436,6,11,12,5,5,7,5,0,0.139663,0.794819,5,67.341,176,28,2,3,32.369,16.906,unreachable_platforms:6|base_reachable_ratio_too_low:0.795,coverage_capped_by_available_surface|link_platform_intersections:1|raised_links_without_explicit_vertical_transition:10
1746,INVALID,59.279,5,9,10,9,8,7,4,1,0.124412,0.999519,5,112.389,174,28,2,4,31.904,28.909,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
1747,INVALID,62.908,6,9,11,10,8,7,5,1,0.147457,0.998997,4,50.361,192,29,1,4,24.33,24.906,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
1748,INVALID,69.824,5,9,12,10,9,8,4,0,0.114989,1.0,5,36.628,167,27,1,3,29.065,24.683,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1749,INVALID,60.052,5,9,12,11,8,9,4,0,0.149506,0.999899,5,68.312,182,26,2,3,24.68,22.836,layout_count_below_minimum|unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:8
1750,INVALID,65.448,7,12,15,12,11,9,6,0,0.174919,1.0,5,29.199,201,27,1,3,40.65,21.551,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1751,INVALID,61.476,7,12,16,14,11,10,6,1,0.181672,0.972482,4,44.174,210,26,1,4,30.414,20.715,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1752,INVALID,30.297,6,9,13,5,5,10,5,0,0.141797,0.735662,5,40.098,184,27,2,3,32.707,16.211,unreachable_platforms:4|base_reachable_ratio_too_low:0.736,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1753,INVALID,65.009,7,11,13,12,10,6,6,1,0.166941,1.0,5,34.245,200,28,1,4,46.107,20.784,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:10
1754,VALID,75.884,6,8,11,10,8,9,5,0,0.132307,1.0,4,36.547,177,26,0,3,27.485,21.406,,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:10
1755,INVALID,62.964,8,14,18,16,13,9,7,1,0.190775,0.988726,5,27.912,207,28,1,4,40.987,19.835,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1756,INVALID,30.97,7,9,11,7,6,9,6,0,0.153453,0.616557,3,36.786,195,27,2,3,27.094,13.952,unreachable_platforms:3|base_reachable_ratio_too_low:0.617,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:12
1757,INVALID,50.066,5,9,11,8,7,10,4,0,0.117442,0.999901,3,20.56,174,28,2,3,25.262,23.414,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
1758,INVALID,55.577,9,11,16,11,8,13,8,0,0.193782,0.987873,4,27.119,204,26,1,3,37.032,22.142,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:13
1759,INVALID,60.674,7,11,15,12,9,11,6,0,0.157955,0.999789,5,25.595,194,28,1,3,46.331,28.816,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
1760,INVALID,38.628,6,12,13,8,8,12,5,0,0.130761,0.838655,4,52.144,174,28,2,3,45.283,19.154,unreachable_platforms:4|base_reachable_ratio_too_low:0.839,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:9
1761,INVALID,62.245,7,9,13,11,8,11,6,0,0.167529,1.0,4,34.557,205,28,1,3,36.975,23.737,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
1762,VALID,74.118,6,9,11,10,9,7,5,1,0.141713,0.999901,4,41.252,180,28,0,4,28.848,20.208,,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:8
1763,INVALID,64.266,8,14,14,13,13,12,7,0,0.202634,0.999542,4,34.352,220,29,1,3,41.179,19.248,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:14
1764,INVALID,56.658,7,13,17,12,10,11,6,1,0.174567,1.0,4,32.329,204,28,1,4,26.339,18.7,unreachable_platforms:3,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
1765,INVALID,28.694,7,13,14,8,7,13,6,0,0.163615,0.768194,4,48.55,199,28,2,3,35.609,15.945,unreachable_platforms:6|base_reachable_ratio_too_low:0.768,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
1766,INVALID,63.702,6,11,14,12,10,8,5,1,0.157904,1.0,5,31.707,194,27,1,4,32.656,21.946,unreachable_platforms:1,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:8
1767,INVALID,46.125,7,11,13,8,8,10,6,0,0.158879,0.866764,5,97.733,190,26,2,3,41.138,24.593,unreachable_platforms:3|base_reachable_ratio_too_low:0.867,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:12
1768,INVALID,63.495,7,9,13,10,8,9,6,0,0.14959,0.999489,5,30.11,192,27,1,3,32.006,23.642,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1769,INVALID,46.453,6,13,13,11,11,9,5,0,0.16081,0.837327,3,90.535,183,28,2,3,24.314,17.562,unreachable_platforms:2|base_reachable_ratio_too_low:0.837,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1770,VALID,77.094,6,12,12,12,12,11,5,0,0.147659,0.999793,5,30.502,179,26,0,3,32.362,24.617,,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1771,INVALID,71.374,5,9,10,9,9,10,4,0,0.123757,0.9999,5,58.413,177,27,1,3,23.788,21.41,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1772,INVALID,27.839,7,12,14,6,6,12,6,0,0.16857,0.593588,5,41.262,193,27,2,3,44.111,13.41,unreachable_platforms:6|base_reachable_ratio_too_low:0.594,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
1773,INVALID,31.92,8,14,15,9,9,12,7,1,0.190154,0.773537,5,38.435,213,27,2,4,32.812,15.713,unreachable_platforms:5|base_reachable_ratio_too_low:0.774,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
